Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,"To nurture and heal my skin, especially with skin conditions like psoriasis",Emotional,"The user is motivated by a desire to soothe and repair irritated skin, seeking natural, gentle products that provide relief and promote healing.","Relief, healing, comfort",Critical for well-being,3675135210489819836,"['it actually feels like it’s healing my skin from my psoriasis', 'no harsh chemicals, no synthetic fragrances, no nonsense', 'leaves my skin feeling soft, radiant, and deeply nourished']","['healing', 'soothing', 'skin condition', 'relief', 'natural']"
true,To protect my skin from sun damage while maintaining a natural glow,Functional,"The user aims to use safe, effective SPF products that provide hydration and a natural glow, avoiding white cast or greasiness, especially during pregnancy.","Protection, safety, natural appearance",Highly important,3681719983377031220,"['help me achieve that no makeup summer glow', 'skin protected', 'no white cast, never greasy and super hydrating/lightweight']","['sun protection', 'SPF', 'natural glow', 'hydration', 'safety']"
true,"To achieve a natural, radiant glow that signifies healthy and youthful skin",Emotional,"Users are motivated by the desire to look naturally beautiful and radiant, seeking a glow that enhances their appearance and boosts confidence without heavy makeup.","Self-confidence, self-expression, and a sense of well-being through beauty","Critical driver, as many comments emphasize glow and natural beauty",Text excerpts from social media posts about skincare and glowing skin,"['Wow your skin is glowing and it looks so hydrated', 'That no-makeup glow is glowing', 'You are GLOWING and I don’t think it’s just baby causing it!']","['glow', 'radiance', 'natural skin', 'hydrated', 'beauty']"
true,To protect my skin from harmful sun damage,Functional,"Users are driven by the need to safeguard their skin from UV rays and prevent sun damage, often seeking high SPF products for effective protection.","Skin safety, health, and prevention of aging or damage",Critical; multiple mentions of SPF and sun protection as essential,Social media posts discussing Caudalie Vinosun Protect SPF products,"['¡refrescante, ligera y fácil de aplicar! Perfecta para cuerpo y rostro', 'protección solar eficaz, sensorial y respetuosa con la piel y el planeta', 'con esta línea de Caudalie tienes cubierta toda la protección solar de este verano']","['sun protection', 'SPF', 'sun damage', 'skincare', 'protection']"
true,"To feel refreshed, calm, and hydrated through skincare routines",Emotional,"Users seek a sense of relaxation and refreshment from their skincare products, associating them with spa-like calming experiences that improve mood and skin comfort.","Relaxation, stress relief, comfort, and self-care","Strong; repeated mentions of refreshing, calming, and hydration benefits","Posts about facial mists and toners, including Beekman 1802 and other skincare routines","['gives my skin the most refreshing, calm feeling like a little spa moment at home', 'leaves my skin feeling soft, balanced, and hydrated', 'This toner mist is my favorite ❤️']","['refreshing', 'hydration', 'calm', 'self-care', 'spa-like']"
true,"To avoid skin irritation and maintain skin health with safe, non-toxic products",Functional,"Users are motivated by the desire to use safe, non-toxic skincare that avoids harmful ingredients, especially for sensitive or delicate skin like babies or those prone to irritation.","Safety, health, and peace of mind in skincare choices","Critical; emphasis on toxin-free, safe ingredients, especially for babies",Posts about non-toxic baby products and ingredient safety,"['Most baby body washes on the market are filled with ingredients that don’t belong on your baby’s delicate skin', 'Choosing safer products is non-negotiable', 'Toxins free']","['non-toxic', 'safe ingredients', 'baby skincare', 'health', 'ingredient safety']"
true,"To enhance my daily routine with effective, high-quality skincare products that combine nature and science",Functional,"Users seek products that are scientifically formulated with natural ingredients to improve skin health, efficacy, and overall routine experience.","Effective skincare, trust in product quality, and holistic well-being",Strong; positive reviews of brand and product efficacy,Posts about THREE skincare products and pop-up stores,"['日本品牌THREE以結合「自然X科學」達致護養奇蹟', '所有產品都注入咗日本天然植萃+療癒精油', '卸妝 養膚 零負擔']","['science', 'natural ingredients', 'effective', 'holistic', 'trust']"
true,"To maintain a healthy, balanced lifestyle through daily rituals and self-care routines",Emotional,"Users are motivated by the desire for overall well-being, integrating health, skincare, and mindful habits into their daily life.","Balance, health, inner harmony, and self-care",Strong; posts emphasize routine and holistic living,Posts about non-toxic morning routines and holistic health practices,"['begin with a non-toxic oral care routine, and ground yourself through journaling, meditation, or stretching', 'a rhythm, in which you live', 'a daily boost of immunity, gut, skin, and hair support']","['self-care', 'routine', 'holistic', 'health', 'mindfulness']"
true,To experience luxurious and high-quality skincare products.,Emotional,"Users are driven by the desire for indulgence, self-care, and feeling pampered through premium skincare items that evoke a sense of luxury.","Enjoyment, self-indulgence, and a sense of being special.",Critical driver,User comments about Byroe products,"['These are such lux products', 'Wow, this is so luxurious!', 'I love everything about this brand. They have the prettiest packaging.']","['luxury', 'self-care', 'premium', 'indulgence', 'quality']"
true,To discover and try new skincare brands that look appealing and promise quality.,Emotional,Users are motivated by curiosity and the desire to explore new brands that appear attractive and promising effective results.,"Curiosity, novelty, and discovery.",Minor consideration,Comments about trying new brands like Byroe and Passion Fruit Serum,"['Need to try them all', 'Haven’t tried this brand yet!', 'Oouh never heard of this brand looks nice']","['curiosity', 'exploration', 'brand discovery', 'novelty']"
true,To enhance my skincare routine with products that are visually appealing and feel luxurious.,Emotional,Users seek products that not only work well but also elevate their self-care experience through beautiful packaging and textures that feel indulgent.,"Aesthetic pleasure, self-indulgence, and sensory enjoyment.",Critical driver,"Comments on packaging, textures, and collection appearance","['Beautiful packaging', 'The textures look so rich and nourishing', 'It look so luxurious and loving the packaging.']","['aesthetics', 'luxury', 'sensory', 'self-indulgence']"
true,To feel confident and radiant with skincare that visibly improves my skin's appearance.,Emotional,"Users are motivated by the desire for self-confidence and feeling attractive through effective skincare that results in a radiant, flawless look.","Self-esteem, confidence, beauty.",Critical driver,Comments about skin appearance and product efficacy,"['Your skin looks amazing!', 'My skin is obsessed', 'Your skin looks flawless and fresh']","['confidence', 'beauty', 'radiance', 'glow']"
